time,open,high,low,close,volume
2025-04-11 16:00:00,82469,82988,81955,82750,348.0241000000001
2025-04-11 17:00:00,82750,84036,82668,83900,955.158000000002
2025-04-11 18:00:00,83900,84197,83500,83591,350.8288
2025-04-11 19:00:00,83591,83957,83544,83840,175.1961
2025-04-11 20:00:00,83840,84016,83692,83842,87.3798
2025-04-11 21:00:00,83842,84291,83617,83656,69.8161
2025-04-11 22:00:00,83656,83691,83135,83414,435.9537999999993
2025-04-11 23:00:00,83414,83542,83145,83404,63.0209
2025-04-12 00:00:00,83404,83543,83205,83339,101.4469
2025-04-12 01:00:00,83339,83424,83133,83191,69.4922
2025-04-12 02:00:00,83191,83276,82785,82785,62.6423
2025-04-12 03:00:00,82785,83113,82766,82951,49.4935
2025-04-12 04:00:00,82951,83426,82846,83180,97.405
2025-04-12 05:00:00,83180,83485,83172,83314,41.5287
2025-04-12 06:00:00,83314,83760,83314,83550,61.956
2025-04-12 07:00:00,83550,83815,83473,83725,78.9678
2025-04-12 08:00:00,83725,84010,83465,83587,121.1073
2025-04-12 09:00:00,83587,83753,83400,83542,37.2422
2025-04-12 10:00:00,83542,83542,83279,83393,27.0931
2025-04-12 11:00:00,83393,83625,83386,83496,75.0821
2025-04-12 12:00:00,83496,83902,83443,83800,99.5376
2025-04-12 13:00:00,83800,84643,83550,84450,357.8923000000002
2025-04-12 14:00:00,84450,85255,84285,84825,368.697
2025-04-12 15:00:00,84825,85405,84624,85003,139.9581
2025-04-12 16:00:00,85003,85196,84562,84632,185.421
2025-04-12 17:00:00,84632,84856,84380,84743,79.5769
2025-04-12 18:00:00,84743,85195,84739,85172,74.2762
2025-04-12 19:00:00,85172,85260,84820,84941,55.6915
2025-04-12 20:00:00,84941,85925,84876,85520,177.2543
2025-04-12 21:00:00,85520,85574,85271,85363,74.8812
2025-04-12 22:00:00,85363,85699,85325,85337,61.1058
2025-04-12 23:00:00,85337,85429,85159,85282,51.134
2025-04-13 00:00:00,85282,85571,85007,85495,115.9474
2025-04-13 01:00:00,85495,86094,85137,85259,213.8052
2025-04-13 02:00:00,85259,85408,84706,85275,134.2904
2025-04-13 03:00:00,85275,85699,85215,85425,190.2074
2025-04-13 04:00:00,85425,85425,84491,84619,201.8244
2025-04-13 05:00:00,84619,84800,84400,84522,90.6029
2025-04-13 06:00:00,84522,84849,84463,84609,48.8003
2025-04-13 07:00:00,84609,84782,84426,84432,69.1151
2025-04-13 08:00:00,84432,84690,84271,84668,70.2254
2025-04-13 09:00:00,84668,84943,84505,84919,82.8984
2025-04-13 10:00:00,84919,84956,84517,84690,49.5969
